mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_64832,CC1(NC(=O)C=C1)C#C,3.9211,77.53,-0.2487,-0.0355,0.2132,1117.8884,0.123185,32.426,-400.76012,-400.751617,-400.750673,-400.793053
gdb_64852,CC1(CC(O1)C#C)C#N,4.1334,75.47,-0.2775,-0.0095,0.268,1195.918,0.121793,32.778,-400.708167,-400.699192,-400.698248,-400.74242
gdb_64881,CC1(CC(N1)C=O)C=O,3.9426,73.59,-0.2425,-0.0331,0.2094,1337.1053,0.144687,33.552,-439.079906,-439.070453,-439.069509,-439.115176
gdb_64884,OC1(CC(C1)C=O)C=O,0.6355,70.74,-0.2588,-0.0519,0.2069,1334.9811,0.132818,32.459,-458.967245,-458.958231,-458.957287,-459.001995
gdb_64909,OC1(CC1(O)C#N)C#N,6.0902,64.31,-0.3044,-0.0227,0.2817,1043.8556,0.08622,32.045,-452.727649,-452.718704,-452.71776,-452.761095
gdb_64948,CC1(CN1)C#CCC=O,3.9826,83.78,-0.2448,-0.027,0.2178,1892.0716,0.144808,34.585,-401.902528,-401.892551,-401.891607,-401.93997
gdb_64949,CC1(CO1)C#CCC=O,1.4196,79.93,-0.2504,-0.0338,0.2166,1878.8102,0.131807,33.957,-421.785736,-421.775787,-421.774842,-421.823636
gdb_64955,CC1(CN1)C(=O)C1CC1,2.3374,80.88,-0.2358,-0.0137,0.222,1277.0354,0.170337,34.321,-403.134858,-403.125659,-403.124714,-403.169309
gdb_65031,CC1(CN1)C1(C)CCO1,1.5519,81.14,-0.2327,0.0775,0.3101,1127.7603,0.193364,36.072,-404.31286,-404.303405,-404.302461,-404.347037
gdb_65136,CC1(CO1)C1C2CCC12,1.6839,81.48,-0.2427,0.0863,0.3289,1117.1679,0.182328,33.227,-387.03947,-387.030936,-387.029992,-387.072855
gdb_65154,OC1(CC1)C1CC(=N)O1,2.9077,73.25,-0.2607,0.0264,0.2871,1199.8838,0.146715,32.491,-439.0667,-439.058181,-439.057237,-439.100174
gdb_65157,OC1(CC1)C1CC(=O)O1,3.8275,68.22,-0.2743,0.0082,0.2825,1176.7965,0.134665,31.499,-458.971706,-458.963346,-458.962402,-459.005077
gdb_65250,CC1(CC1)C1OCC=C1,1.3997,84.35,-0.2313,0.0169,0.2482,1208.842,0.182213,33.671,-387.083292,-387.074475,-387.073531,-387.117003
gdb_65299,OC1(CC11CCC1)C#N,3.6458,77.45,-0.2711,0.0155,0.2865,1133.0582,0.14675,32.921,-401.932873,-401.924135,-401.923191,-401.966347
gdb_65317,CC1(CC1C#C)N1CC1,1.5623,87.33,-0.2253,0.0499,0.2753,1304.3107,0.168692,35.866,-365.932461,-365.923134,-365.92219,-365.966254
gdb_65329,CC1(OC1C#C)C1CN1,1.9127,79.39,-0.2464,0.0121,0.2586,1277.5255,0.145448,34.039,-401.868001,-401.858867,-401.857922,-401.901771
gdb_65333,CC1(OC1C#N)C1CO1,4.2589,70.32,-0.2864,-0.0073,0.279,1214.1527,0.122145,31.28,-437.852547,-437.843859,-437.842915,-437.886151
gdb_65406,CC1(CC1CC#N)C#C,3.688,84.08,-0.2549,0.0251,0.2799,1478.7403,0.145365,35.3,-364.785442,-364.775793,-364.774849,-364.820298
gdb_65412,CC1(NC1CC#C)C#C,1.1637,86.25,-0.2398,0.0311,0.2709,1487.8207,0.144203,36.592,-364.72119,-364.711275,-364.71033,-364.756182
gdb_65594,OC1(CC2NC2C1)C#N,2.6898,71.43,-0.2564,0.0125,0.2689,1063.7415,0.137108,30.78,-417.997961,-417.989995,-417.989051,-418.030556
gdb_65615,CC1(NC2CCC12)C#N,3.2148,79.76,-0.2446,0.0237,0.2683,1123.7301,0.159964,32.353,-382.049533,-382.041136,-382.040192,-382.0824
gdb_65626,NC1(CC2COC12)C#N,3.8302,72.36,-0.2506,0.0113,0.2618,1065.7605,0.137018,30.466,-417.974989,-417.966971,-417.966027,-418.00759
gdb_65658,C1CC(C1)CC2(CC2)O,1.3523,85.7,-0.2522,0.0661,0.3183,1497.0459,0.205337,36.382,-388.26516,-388.255702,-388.254758,-388.300023
gdb_65672,CC1(CC=O)C2CCC12,2.9478,83.22,-0.2431,-0.0197,0.2234,1375.3083,0.181213,34.37,-387.071869,-387.062728,-387.061784,-387.106141
gdb_65690,C1C(=O)CC1(CC=O)O,3.2638,68.95,-0.2479,-0.0332,0.2147,1242.6605,0.13184,33.449,-458.973486,-458.964229,-458.963284,-459.00855
gdb_65705,CC1(CC1C=O)NC=O,5.8739,75.01,-0.2491,-0.0238,0.2254,1257.1297,0.1453,34.177,-439.107865,-439.098343,-439.097398,-439.142672
gdb_65739,CC1(CN=CO1)OC=N,3.3433,70.57,-0.2684,0.0092,0.2776,1157.4218,0.135445,31.066,-455.16309,-455.154574,-455.15363,-455.196691
gdb_65782,CC1(CCOC1)OC=N,2.2799,77.02,-0.2563,0.0198,0.2761,1293.0476,0.170705,33.602,-440.286395,-440.277256,-440.276312,-440.321397
gdb_65813,CC1(COC1)OCC#N,3.7118,71.37,-0.255,0.0033,0.2583,1199.7031,0.145945,32.83,-439.059853,-439.050701,-439.049757,-439.094577
gdb_65833,CC1(CNC(=O)O1)C#C,4.7911,70.97,-0.2651,0.0162,0.2813,1118.0164,0.12347,31.905,-437.904519,-437.896034,-437.89509,-437.937545
gdb_65859,OC1(COC(=O)C1)C#C,5.0476,67.3,-0.2674,0.0064,0.2738,1132.239,0.110892,31.24,-457.766642,-457.758305,-457.757361,-457.799604
gdb_65941,CC1(NCC11CO1)C#C,0.7808,78.01,-0.2368,0.0344,0.2712,1066.2532,0.145396,33.995,-401.865574,-401.856628,-401.855684,-401.898934
gdb_66033,CC1(OCC1C#N)C#C,2.661,75.6,-0.2741,-0.005,0.2691,1134.2166,0.12194,32.723,-400.708272,-400.69925,-400.698306,-400.742421
gdb_66139,OC1(CCC2NC12)C=O,3.2259,71.61,-0.2412,-0.0379,0.2033,1068.5089,0.148143,31.156,-439.077913,-439.06995,-439.069005,-439.110265
gdb_66186,CC1(COC=N1)C1CO1,0.3541,71.58,-0.2527,0.0154,0.2681,1118.7709,0.147744,30.717,-439.074181,-439.06587,-439.064926,-439.107842
gdb_66198,CC1(CCN=CO1)C#C,2.2335,77.63,-0.2486,0.0209,0.2694,1048.4469,0.147108,32.839,-401.932163,-401.923631,-401.922687,-401.964944
gdb_66207,OC1(COC=NC1)C#C,2.361,70.34,-0.2485,0.0184,0.2669,1007.326,0.12363,31.654,-437.852251,-437.843838,-437.842894,-437.885036
gdb_66220,CC1(CCCC#N)CO1,5.066,80.1,-0.2725,0.0345,0.3069,1818.0859,0.169161,35.458,-403.153521,-403.143547,-403.142603,-403.189556
gdb_66282,OC1(CCOC1=N)C#C,2.5364,71.23,-0.267,0.0025,0.2694,1007.2955,0.123682,31.845,-437.864433,-437.85608,-437.855136,-437.897186
gdb_66288,OC1(COCC1=O)C#C,0.8941,67.28,-0.2517,-0.0484,0.2033,997.2366,0.110179,31.509,-457.732506,-457.723994,-457.72305,-457.765647
gdb_66436,CC12C3C1C1(O)C3C21O,1.7034,72.03,-0.2131,0.0579,0.271,994.6122,0.133192,32.57,-421.706769,-421.698455,-421.697511,-421.738998
gdb_66481,CC12C3C1C1(C)OC3C21,1.8468,78.12,-0.2383,0.0899,0.3283,1002.8135,0.158763,30.811,-385.822313,-385.814743,-385.813799,-385.853792
gdb_66508,CC12C3C1C1=CCN2C31,1.1962,82.22,-0.1956,-0.0388,0.1568,869.4944,0.147611,29.106,-364.668457,-364.661455,-364.66051,-364.699235
gdb_66634,CC12C3C1C1CC3C2O1,1.5234,76.86,-0.2426,0.0974,0.34,903.5361,0.162297,27.676,-385.874326,-385.867877,-385.866932,-385.904734
gdb_66680,OC12C3C4C1C4(C=O)C23,2.3688,71.1,-0.2344,-0.0207,0.2138,1051.2091,0.110715,28.522,-420.519263,-420.511936,-420.510991,-420.551082
gdb_66745,CC12C3C4C(C1C3=O)N24,1.2241,70.62,-0.2416,-0.021,0.2206,896.8703,0.124823,27.194,-400.682496,-400.675681,-400.674737,-400.713606
gdb_66797,CC12C3C4C5C3C1C5C24,0.1159,80.83,-0.2515,0.0699,0.3215,853.4822,0.160819,27.195,-348.645191,-348.639,-348.638056,-348.675235
gdb_66870,OC12C3N=C4OC(C13)C24,2.9801,63.84,-0.2096,-0.0601,0.1494,809.8709,0.1,26.224,-436.536276,-436.530004,-436.52906,-436.566426
gdb_66880,OC12C3N=C4NC1C4C23,2.3925,68.94,-0.2094,-0.049,0.1605,804.0464,0.113313,26.345,-416.662853,-416.656718,-416.655774,-416.692829
gdb_66903,CC12C3C=CC1N=CN23,2.0536,75.72,-0.2384,-0.0118,0.2266,861.648,0.137979,27.962,-380.857497,-380.850646,-380.849702,-380.888211
gdb_66917,CC12C3OC(C)(C13)C2=O,3.256,72.42,-0.2224,0.0023,0.2248,1012.3824,0.133548,31.533,-421.788583,-421.780204,-421.77926,-421.821231
gdb_66922,CC1(C)C2CC3C2C13O,1.0992,81.27,-0.2362,0.073,0.3092,1019.5755,0.181572,34.919,-387.041507,-387.03288,-387.031936,-387.073758
gdb_66954,OC12C3OC(C13)C21CO1,0.9392,63.94,-0.2315,0.0552,0.2867,903.4551,0.111354,27.973,-457.648561,-457.641544,-457.6406,-457.679736
