mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_98065,COC(=O)C(=O)C(=N)N,3.2595,65.22,-0.2545,-0.0697,0.1849,1257.7789,0.110203,33.478,-491.120615,-491.110658,-491.109714,-491.156634
gdb_98114,CNC(=O)C(=O)CC#N,4.957,68.88,-0.2645,-0.085,0.1794,1522.1223,0.110679,32.378,-454.004279,-453.994553,-453.993608,-454.040445
gdb_98117,C#CCC(=O)C(=O)CO,1.4541,69.12,-0.2465,-0.091,0.1555,1555.7095,0.107197,34.323,-457.739353,-457.72924,-457.728296,-457.775877
gdb_98224,CCC(=O)N(C)C(=O)N,2.2758,74.11,-0.2633,-0.0064,0.2569,1387.9197,0.158069,36.147,-456.427598,-456.417464,-456.41652,-456.463268
gdb_98234,CNC(=[NH2+])C(N)C([O-])=O,1.2412,71.64,-0.1752,0.0423,0.2175,1363.9479,0.144569,38.838,-472.441046,-472.429117,-472.428173,-472.480938
gdb_98250,COC(=O)C(O)C(C)=O,4.2819,66.43,-0.2661,-0.0424,0.2237,1268.9428,0.131969,34.901,-496.14562,-496.135332,-496.134388,-496.182003
gdb_98251,COC(=O)C(O)C(N)=O,5.401,62.56,-0.268,-0.0104,0.2576,1234.1049,0.122217,34.068,-512.219562,-512.209807,-512.208863,-512.254906
gdb_98312,OCC(=O)C(O)C1CN1,1.731,68.73,-0.2535,-0.046,0.2075,1355.3132,0.146153,33.768,-476.198946,-476.189552,-476.188608,-476.23406
gdb_98369,CN(CC=O)C(=O)OC,3.4293,71.27,-0.2443,-0.0314,0.2129,1523.9959,0.144401,34.839,-476.262741,-476.252121,-476.251177,-476.300117
gdb_98384,CNC(=O)N(C=O)C=O,5.7844,65.66,-0.2619,-0.048,0.2139,1315.843,0.110446,32.128,-491.147821,-491.138144,-491.137199,-491.18349
gdb_98546,CNC(=O)C12CCC1O2,2.3114,74.33,-0.2486,0.0117,0.2603,1270.732,0.147058,32.188,-439.082668,-439.073766,-439.072822,-439.116878
gdb_98570,CNC(=O)C1=NCCO1,3.2386,72.48,-0.247,-0.0318,0.2152,1358.1364,0.136881,30.831,-455.190893,-455.18185,-455.180905,-455.226043
gdb_98596,COC(=O)C1C(C)C1O,2.6441,73.99,-0.242,0.0006,0.2426,1292.5506,0.15762,34.799,-460.185405,-460.175708,-460.174764,-460.220289
gdb_98620,CCC(=O)N1C2CCC12,3.2726,82.0,-0.2329,0.0122,0.2451,1447.1882,0.169968,33.361,-403.135851,-403.126692,-403.125748,-403.17095
gdb_98645,COC(=O)C1CC(=O)C1,3.5632,70.92,-0.249,-0.0223,0.2267,1470.6479,0.133765,31.932,-459.004597,-458.995389,-458.994445,-459.040733
gdb_98711,CNC(=O)N1CC1C#C,3.6408,76.99,-0.2431,0.0282,0.2713,1273.2296,0.134026,34.097,-417.975035,-417.965364,-417.96442,-418.010315
