mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_1,C,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,6.469,-40.47893,-40.476062,-40.475117,-40.498597
gdb_2,N,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,6.316,-56.525887,-56.523026,-56.522082,-56.544961
gdb_3,O,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,6.002,-76.404702,-76.401867,-76.400922,-76.422349
gdb_4,C#C,0.0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841,8.574,-77.308427,-77.305527,-77.304583,-77.327429
gdb_6,C=O,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026603,6.413,-114.483613,-114.480746,-114.479802,-114.505268
gdb_7,CC,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,10.098,-79.764152,-79.760666,-79.759722,-79.787269
gdb_8,CO,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208,8.751,-115.679136,-115.675816,-115.674872,-115.701876
gdb_9,CC#C,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,12.482,-116.609549,-116.60555,-116.604606,-116.633775
gdb_10,CC#N,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,10.287,-132.71815,-132.714563,-132.713619,-132.742149
gdb_11,CC=O,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,0.055355,11.219,-153.787612,-153.783728,-153.782784,-153.812518
gdb_12,C(=O)N,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,0.045279,10.89,-169.860788,-169.856903,-169.855958,-169.885594
gdb_13,CCC,0.0597,34.75,-0.323,0.0949,0.4179,227.1361,0.103182,14.84,-119.052475,-119.047927,-119.046983,-119.078157
gdb_14,CCO,1.4131,27.87,-0.2619,0.0798,0.3417,193.1659,0.079754,13.546,-154.972731,-154.968412,-154.967467,-154.998148
gdb_15,COC,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,0.079534,12.934,-154.960361,-154.956045,-154.9551,-154.985747
gdb_16,C1CC1,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,0.081231,11.041,-117.824798,-117.821426,-117.820482,-117.849087
gdb_19,CC(=O)N,3.6367,31.83,-0.2436,0.0347,0.2783,267.6148,0.07319,16.561,-209.159302,-209.15402,-209.153076,-209.187468
gdb_20,C(=O)(N)N,3.4869,28.07,-0.2495,0.0556,0.3051,244.2308,0.063824,15.292,-225.221461,-225.217075,-225.216131,-225.247724
gdb_21,CC(C)C,0.0897,45.46,-0.3167,0.0843,0.401,355.0621,0.131146,20.273,-158.342346,-158.336603,-158.335658,-158.370016
gdb_22,CC(C)O,1.4259,38.58,-0.2612,0.074,0.3351,318.3721,0.107673,19.052,-194.267232,-194.261748,-194.260804,-194.294663
gdb_23,C#CC#C,0.0,38.52,-0.2599,-0.0214,0.2386,278.6264,0.037354,15.312,-153.459846,-153.455442,-153.454498,-153.482621
gdb_24,C#CC#N,3.792,32.66,-0.3102,-0.0543,0.2559,260.1896,0.027259,12.93,-169.557758,-169.553764,-169.55282,-169.581024
gdb_25,C(#N)C#N,0.0023,27.7,-0.3696,-0.0926,0.277,242.9308,0.015951,10.398,-185.648533,-185.644825,-185.64388,-185.667652
gdb_26,C#CC=O,2.7824,31.14,-0.2777,-0.0735,0.2042,268.3921,0.037208,13.049,-190.624631,-190.620363,-190.619419,-190.650543
gdb_28,C(=O)C=O,0.002,26.12,-0.2668,-0.1113,0.1555,266.8164,0.036943,12.147,-227.798785,-227.79457,-227.793626,-227.825074
gdb_32,C(C#N)N,4.4361,31.81,-0.2683,0.0173,0.2855,295.6635,0.063305,14.488,-188.042067,-188.037478,-188.036534,-188.06863
gdb_33,C#CCO,1.7211,33.1,-0.2595,0.0277,0.2872,300.0993,0.060632,15.855,-191.810916,-191.806025,-191.805081,-191.837634
gdb_35,CCC=O,2.6741,35.83,-0.25,-0.0205,0.2295,333.3276,0.084175,15.954,-193.075202,-193.070116,-193.069171,-193.102798
gdb_36,CNC=O,3.7071,32.78,-0.2516,0.0335,0.2851,279.7863,0.074166,15.058,-209.144909,-209.139976,-209.139032,-209.172305
gdb_38,C(C=O)O,1.7341,28.53,-0.2537,-0.0341,0.2196,303.8129,0.060508,14.78,-228.992613,-228.987769,-228.986825,-229.019918
gdb_41,CCOC,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,0.107895,17.888,-194.254127,-194.248585,-194.247641,-194.281899
gdb_42,C(CO)O,0.0075,31.42,-0.2594,0.0584,0.3179,297.8398,0.085172,16.837,-230.183076,-230.177723,-230.176779,-230.211195
gdb_43,CC1CC1,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,0.109284,16.49,-157.116735,-157.11209,-157.111146,-157.143262
gdb_44,CC1CO1,1.812,35.01,-0.2633,0.1052,0.3685,267.2979,0.085275,14.764,-193.039603,-193.035186,-193.034242,-193.065979
gdb_45,CN1CC1,1.1353,39.02,-0.2304,0.0968,0.3271,270.5508,0.097671,15.298,-173.147782,-173.143343,-173.142399,-173.174073
gdb_46,C1CC1O,1.3894,34.64,-0.239,0.0775,0.3166,263.966,0.085106,15.679,-193.034988,-193.030356,-193.029411,-193.061689
gdb_47,C1CCC1,0.0,41.83,-0.2982,0.0956,0.3938,268.4432,0.110511,14.696,-157.115484,-157.111322,-157.110378,-157.141657
gdb_48,C1COC1,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,0.086675,12.915,-193.034094,-193.029968,-193.029024,-193.060777
gdb_49,CC(=NO)C,0.6875,45.37,-0.2392,0.0192,0.2584,452.5112,0.100501,21.616,-248.375248,-248.368823,-248.367879,-248.405354
gdb_50,c1cc[nH]c1,1.8689,43.14,-0.2029,0.0499,0.2528,303.9808,0.082433,14.821,-210.101789,-210.097816,-210.096872,-210.12818
gdb_51,c1cnc[nH]1,3.6193,39.13,-0.2253,0.0332,0.2585,283.6817,0.071145,13.371,-226.160842,-226.157088,-226.156144,-226.187104
gdb_52,c1ccoc1,0.5571,39.2,-0.2246,0.0199,0.2445,289.005,0.069883,13.358,-229.969129,-229.965414,-229.96447,-229.995393
gdb_53,c1cocn1,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,0.058593,12.04,-246.02915,-246.025614,-246.024669,-246.055309
gdb_54,CC(C)(C)C,0.0003,56.01,-0.3145,0.0737,0.3882,486.2719,0.158836,26.084,-197.632222,-197.625241,-197.624297,-197.661411
gdb_55,CC(C)(C)O,1.384,49.04,-0.2601,0.0664,0.3265,449.0573,0.134977,25.128,-233.560626,-233.553779,-233.552834,-233.589759
gdb_56,CC(=O)C#C,2.8579,42.02,-0.2654,-0.0575,0.2079,416.7799,0.065175,18.723,-229.927277,-229.921622,-229.920677,-229.955843
gdb_58,C(#N)C(=N)N,5.1815,38.31,-0.2739,-0.0438,0.2301,384.5574,0.056619,17.465,-242.19573,-242.190591,-242.189646,-242.223513
gdb_59,C#CC(=O)N,3.7167,38.29,-0.2629,-0.0277,0.2352,390.4619,0.054731,18.527,-245.997884,-245.992256,-245.991312,-246.026404
gdb_60,CC(=O)C=O,0.9461,36.51,-0.2538,-0.0964,0.1574,399.222,0.064992,17.806,-267.10335,-267.097658,-267.096714,-267.132534
gdb_61,C(=O)C(=N)N,2.7707,38.09,-0.2561,-0.064,0.192,384.4827,0.067668,17.972,-263.278851,-263.273589,-263.272645,-263.306835
gdb_62,C(=O)C(=O)N,5.1668,33.39,-0.2533,-0.0763,0.177,381.9882,0.054577,17.525,-283.16874,-283.163262,-283.162318,-283.197298
gdb_63,CC(C)C#C,0.6578,51.2,-0.2589,0.0571,0.316,481.9854,0.112471,22.569,-195.186772,-195.180446,-195.179502,-195.215658
gdb_64,CC(C)C#N,3.9512,46.23,-0.318,0.0365,0.3545,460.694,0.102281,20.467,-211.295796,-211.289821,-211.288877,-211.324525
gdb_65,CC(N)C#N,2.7429,42.87,-0.2704,0.0278,0.2983,440.0738,0.091554,19.946,-227.338075,-227.332253,-227.331309,-227.366638
gdb_66,CC(O)C#C,1.3582,44.03,-0.2665,0.0336,0.3001,444.6452,0.088908,21.306,-231.108368,-231.102292,-231.101348,-231.137061
gdb_67,CC(O)C#N,3.269,39.28,-0.3051,0.0115,0.3166,424.3395,0.078602,19.252,-247.214861,-247.209162,-247.208218,-247.243338
gdb_68,CC(C)C=O,2.6921,46.58,-0.2469,-0.0188,0.2281,482.0475,0.112328,21.434,-232.364952,-232.358577,-232.357633,-232.394589
gdb_69,CC(O)C=O,2.8354,39.16,-0.255,-0.0279,0.2271,432.1489,0.088443,20.344,-268.287661,-268.281505,-268.280561,-268.316982
gdb_71,CC(=O)CO,2.9514,39.33,-0.2699,-0.0262,0.2437,440.1727,0.088924,19.824,-268.301176,-268.295084,-268.29414,-268.331307
gdb_72,CCC(=O)C,2.6168,46.19,-0.2423,-0.0072,0.2351,489.8518,0.112006,21.716,-232.377706,-232.371073,-232.370129,-232.408256
gdb_74,CC(=O)NC,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,0.101735,20.967,-248.443503,-248.436899,-248.435955,-248.474272
gdb_75,CNC(=O)N,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,0.091713,20.274,-264.504487,-264.498452,-264.497508,-264.533633
gdb_76,COC(C)=N,1.1876,43.57,-0.2595,0.0352,0.2948,443.1687,0.102062,20.256,-248.416462,-248.410358,-248.409414,-248.445651
gdb_77,CC(=O)OC,1.7569,39.33,-0.2685,0.0174,0.2859,427.6606,0.089436,19.501,-268.32127,-268.315051,-268.314106,-268.351214
gdb_78,COC(=O)N,2.329,35.5,-0.2669,0.0575,0.3244,398.5908,0.079271,19.084,-284.385189,-284.379361,-284.378417,-284.414085
gdb_79,C(C(=O)N)O,4.5676,35.87,-0.246,0.0273,0.2733,418.5967,0.078222,20.089,-284.360325,-284.354148,-284.353204,-284.390143
gdb_80,[NH3+]CC([O-])=O,5.3004,35.19,-0.2527,0.0208,0.2735,408.0279,0.080317,17.931,-284.372483,-284.367172,-284.366228,-284.40095
gdb_81,CC(C)CO,1.3149,49.26,-0.2629,0.0789,0.3418,516.4357,0.136209,23.924,-233.551389,-233.544542,-233.543598,-233.581067
gdb_82,CC(O)CO,2.2854,42.01,-0.2597,0.0631,0.3228,438.3028,0.11345,22.072,-269.479234,-269.472993,-269.472049,-269.508213
gdb_83,CCC(C)C,0.0618,56.26,-0.3085,0.085,0.3934,565.8412,0.159632,25.169,-197.629387,-197.622325,-197.621381,-197.659365
gdb_84,CCC(C)O,1.3894,49.45,-0.2617,0.0733,0.335,521.8605,0.136091,23.99,-233.555951,-233.549143,-233.548199,-233.585602
gdb_85,CC(C)OC,1.0758,49.8,-0.2476,0.086,0.3336,507.9614,0.135681,23.573,-233.545899,-233.539034,-233.53809,-233.57582
gdb_86,CC1(CC1)C,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,0.137025,22.258,-196.409349,-196.403398,-196.402453,-196.437676
gdb_87,CC1(CO1)C,1.8235,45.7,-0.2596,0.091,0.3505,405.521,0.112851,20.719,-232.335768,-232.329981,-232.329037,-232.364091
gdb_88,CC1(CC1)O,1.3822,45.85,-0.2494,0.0776,0.327,401.4888,0.113237,21.17,-232.33341,-232.327734,-232.32679,-232.36147
gdb_89,N=C1CCO1,2.5732,40.19,-0.263,0.0277,0.2907,352.0378,0.080558,15.51,-247.201165,-247.196699,-247.195755,-247.22841
gdb_90,C1CC(=O)C1,2.7119,42.77,-0.2415,-0.0194,0.2222,379.6371,0.090544,17.076,-231.15578,-231.150804,-231.149859,-231.184401
gdb_91,C1CNC1=O,3.6671,39.73,-0.25,0.038,0.288,355.0934,0.080442,16.1,-247.225618,-247.220897,-247.219953,-247.253218
gdb_92,C1COC1=O,3.9339,35.4,-0.2788,0.0089,0.2878,336.0792,0.068574,14.483,-267.106213,-267.101929,-267.100985,-267.13332
gdb_94,C1C(=O)CO1,0.8477,35.94,-0.2647,-0.0352,0.2295,344.5473,0.066989,15.115,-267.068488,-267.063976,-267.063032,-267.095887
