mol_id,smiles,mu,alpha,homo,lumo,gap,r2,zpve,cv,u0,u298,h298,g298
gdb_31520,CCc1nc(c(o1)N)C,2.2599,79.97,-0.2181,0.0159,0.234,1375.0783,0.158913,34.681,-419.258807,-419.249095,-419.248151,-419.293943
gdb_31543,CNc1cc(c(o1)N)O,2.353,74.17,-0.1645,0.0511,0.2156,1315.7857,0.135372,34.757,-455.150917,-455.141204,-455.14026,-455.18568
gdb_31565,COc1cc(c(o1)N)N,1.8419,74.01,-0.1709,0.0498,0.2207,1296.339,0.136064,33.861,-455.152387,-455.143144,-455.1422,-455.186755
gdb_31664,CNc1cn(cc1N)C,1.7109,85.55,-0.1687,0.0528,0.2215,1341.6214,0.172025,36.069,-399.342146,-399.332306,-399.331362,-399.376872
gdb_31740,CNc1[nH]cc(n1)OC,3.3167,77.11,-0.1672,0.0589,0.2261,1419.7582,0.148082,33.696,-435.289633,-435.280127,-435.279183,-435.324549
gdb_31788,Cn1c(ccc1OC)O,0.2091,75.92,-0.1606,0.0722,0.2328,1241.3281,0.146531,34.446,-439.102289,-439.092537,-439.091593,-439.137368
gdb_31839,CNc1cnc(cn1)N,1.622,83.98,-0.1846,-0.0284,0.1563,1320.9595,0.138312,31.672,-414.241129,-414.23273,-414.231786,-414.274038
gdb_31899,CNc1ncc(o1)C#C,2.1452,83.43,-0.1976,-0.0111,0.1864,1375.4839,0.112336,31.046,-416.810339,-416.801694,-416.80075,-416.843862
gdb_31926,CCc1ccc(o1)C=O,4.1892,82.44,-0.2357,-0.0537,0.182,1345.2802,0.135624,30.64,-421.881195,-421.872677,-421.871732,-421.915229
gdb_31983,COc1ccc([nH]1)OC,0.0515,76.81,-0.1629,0.0772,0.2401,1492.1118,0.147033,33.628,-439.095543,-439.086185,-439.085241,-439.129928
gdb_32011,CCC1=CN=CC(=N)O1,1.9002,82.1,-0.225,-0.0664,0.1586,1218.4548,0.1367,30.44,-418.035877,-418.027633,-418.026689,-418.069311
gdb_32026,CNC1=CN=CC(=N)O1,3.6293,83.0,-0.1936,-0.0452,0.1484,1173.0894,0.125087,30.51,-434.084551,-434.076139,-434.075195,-434.118117
gdb_32060,OCC1=CN=CC(=N)O1,1.3983,74.11,-0.2354,-0.0757,0.1597,1163.0375,0.113433,28.981,-453.95363,-453.945731,-453.944787,-453.986693
gdb_32123,CNc1cc(ccn1)O,3.0045,81.07,-0.2009,0.0055,0.2065,1255.3669,0.137816,31.384,-418.074481,-418.066177,-418.065233,-418.10743
gdb_32130,CNc1ncnc(n1)O,1.6344,72.3,-0.24,-0.0212,0.2188,1202.3958,0.115736,28.332,-450.208938,-450.200999,-450.200055,-450.242507
gdb_32147,COc1cncc(n1)O,3.0266,72.82,-0.2264,-0.0347,0.1917,1153.491,0.114019,28.55,-454.002529,-453.994857,-453.993913,-454.034865
gdb_32183,CCc1nccn1C=O,1.6062,77.07,-0.2397,-0.0496,0.1901,1183.628,0.137013,30.269,-418.072193,-418.06386,-418.062916,-418.105545
gdb_32185,CNc1cncn1C=O,4.0915,73.46,-0.2278,-0.0467,0.1811,1155.2358,0.125638,29.71,-434.106709,-434.098342,-434.097398,-434.140353
gdb_32250,COc1cccnc1O,2.2005,76.38,-0.2118,-0.0091,0.2026,1137.0233,0.126047,29.362,-437.943445,-437.935744,-437.9348,-437.975697
gdb_32264,COc1c(nccn1)O,0.4965,72.96,-0.2233,-0.0311,0.1923,1095.1801,0.114176,28.465,-454.00044,-453.992783,-453.991839,-454.03274
gdb_32300,CNC1=NC=COC1=N,0.1096,79.49,-0.1985,-0.0347,0.1638,1133.9215,0.125757,30.222,-434.099702,-434.091386,-434.090442,-434.133344
gdb_32473,CNc1c[nH]c(=NC)o1,3.8253,79.16,-0.171,0.049,0.22,1339.596,0.147282,33.999,-435.272698,-435.2631,-435.262156,-435.307731
gdb_32516,COc1cocc1C=O,4.2616,70.35,-0.2303,-0.0471,0.1832,1231.3202,0.112114,29.23,-457.784891,-457.77669,-457.775746,-457.818135
gdb_32535,COc1cocc1CO,2.0886,71.1,-0.2059,0.0321,0.238,1304.8305,0.135199,32.155,-458.96447,-458.955431,-458.954487,-458.998989
gdb_32566,CCn1c(c[nH]c1=O)C,3.706,78.07,-0.1838,0.0468,0.2306,1175.8162,0.159639,34.203,-419.280511,-419.271142,-419.270198,-419.314995
gdb_32633,CCn1cnc(c1C)O,3.1293,78.86,-0.187,0.0342,0.2212,1250.6561,0.159553,34.164,-419.258318,-419.248948,-419.248004,-419.29257
gdb_32765,COCc1c(cc[nH]1)N,1.5704,81.51,-0.1735,0.0453,0.2188,1425.0669,0.15978,34.512,-419.223019,-419.213467,-419.212523,-419.258129
gdb_32771,COCc1c(nco1)O,0.967,69.42,-0.2217,-0.003,0.2187,1346.4856,0.123904,30.419,-475.03768,-475.029025,-475.028081,-475.071986
gdb_32804,CCOc1c([nH]cn1)C,2.4924,80.51,-0.185,0.0348,0.2198,1414.6594,0.159311,33.701,-419.2516,-419.242113,-419.241169,-419.286812
gdb_32807,CCOc1cc[nH]c1N,0.134,79.73,-0.1766,0.0544,0.231,1425.7277,0.159596,34.779,-419.228757,-419.219101,-419.218157,-419.264149
gdb_32922,CCNc1cnc([nH]1)O,2.1289,75.76,-0.1885,0.0541,0.2426,1565.6974,0.148918,33.106,-435.300979,-435.291943,-435.290999,-435.335663
gdb_32957,COCc1[nH]c(cn1)N,2.6825,76.65,-0.1919,0.042,0.2339,1501.5302,0.148616,32.94,-435.287252,-435.277912,-435.276968,-435.322418
gdb_32983,CCCc1ccccc1,0.3199,93.33,-0.2358,0.0047,0.2405,1570.1475,0.184655,32.906,-350.035189,-350.026481,-350.025537,-350.069462
gdb_33001,CCNc1ncncn1,2.8416,78.31,-0.2406,-0.0331,0.2075,1279.5187,0.139117,29.424,-414.257069,-414.248915,-414.247971,-414.290856
gdb_33005,CCOc1cnccn1,1.7792,79.5,-0.2394,-0.0405,0.1989,1383.1361,0.137485,29.329,-418.061982,-418.053953,-418.053009,-418.095236
gdb_33032,c1cncnc1CCO,1.3207,76.94,-0.2506,-0.0404,0.2102,1423.0376,0.13818,29.507,-418.057519,-418.049351,-418.048407,-418.091385
gdb_33052,CCOc1coc(=O)o1,4.777,64.64,-0.2321,0.0238,0.2558,1413.6852,0.111306,29.374,-494.939851,-494.931515,-494.930571,-494.97414
gdb_33205,CCOCc1ncco1,0.9169,74.48,-0.2457,-0.005,0.2406,1422.8983,0.147721,30.918,-439.108379,-439.099554,-439.09861,-439.144019
gdb_33215,c1c(ocn1)CCCO,3.0248,74.58,-0.2361,0.0063,0.2424,1729.5242,0.148205,31.316,-439.113012,-439.104106,-439.103162,-439.148079
gdb_33222,c1cc([nH]c1)OCCO,1.3045,75.33,-0.1864,0.0562,0.2427,1541.1649,0.148317,32.488,-439.103235,-439.094388,-439.093444,-439.137842
gdb_33243,CCOCc1cocn1,1.1539,74.33,-0.2385,0.0076,0.2461,1663.0907,0.14745,31.034,-439.107887,-439.098969,-439.098024,-439.143159
gdb_33264,c1ccn(c1)CCCO,3.1191,82.16,-0.1999,0.0459,0.2458,1743.442,0.171684,33.583,-403.17478,-403.165457,-403.164513,-403.210657
gdb_33315,C#CC#CC1C2CN1C2,1.8337,94.74,-0.2341,-0.0274,0.2067,1564.1253,0.124168,29.984,-363.470839,-363.463022,-363.462078,-363.503588
gdb_33386,C#CC(C#C)(C#C)C#C,0.0007,80.76,-0.2716,0.0195,0.2911,1101.2481,0.082869,35.587,-344.980083,-344.970404,-344.96946,-345.014122
gdb_33392,C#CC(C#C)C1CCO1,1.9327,79.18,-0.2467,0.0305,0.2772,1182.5646,0.133191,33.498,-384.591302,-384.582103,-384.581159,-384.625737
gdb_33471,N#CC1(CO1)C1CCO1,3.2265,68.87,-0.269,-0.0034,0.2656,1092.3862,0.123541,29.581,-437.845936,-437.837588,-437.836644,-437.879992
gdb_33555,C#CC1(CNC=N1)C#N,5.8197,72.65,-0.2522,-0.0051,0.2472,1024.7492,0.101087,29.838,-395.702169,-395.69405,-395.693105,-395.735027
gdb_33571,C#CC1(CCOC1)C#C,1.2202,79.63,-0.2493,0.0278,0.2771,1106.2963,0.134125,33.292,-384.616559,-384.607591,-384.606646,-384.6504
gdb_33597,N#CC12C3C1N1C3CC21,3.4484,73.48,-0.2473,0.0081,0.2555,928.4094,0.115021,25.067,-379.59385,-379.587653,-379.586708,-379.624424
gdb_33617,C#CC12C3CC1C1C3N21,2.0726,78.8,-0.234,0.0152,0.2492,922.6104,0.125245,27.236,-363.493109,-363.486539,-363.485595,-363.52384
gdb_33687,C#CC12C3C4CC1N2C34,2.0161,78.97,-0.2238,0.021,0.2448,963.0482,0.125248,27.574,-363.521446,-363.514808,-363.513864,-363.552213
gdb_33927,N#CC12CC1C=CCO2,4.9847,75.0,-0.2448,-0.0104,0.2344,1044.1779,0.125258,28.895,-400.742468,-400.734998,-400.734054,-400.774345
gdb_33991,N#CC12OC1CC21CO1,4.2708,67.29,-0.2817,-0.0132,0.2685,997.8417,0.099716,27.807,-436.622942,-436.615517,-436.614572,-436.655021
gdb_34001,N#CC12CC=CCC1N2,5.2443,77.83,-0.2633,-0.001,0.2623,1092.4218,0.138434,29.263,-380.876719,-380.869163,-380.868219,-380.908728
gdb_34002,N#CC12CC=CCC1O2,4.2419,74.4,-0.2632,-0.0001,0.2631,1079.3534,0.125387,28.664,-400.759214,-400.751724,-400.75078,-400.791213
gdb_34012,N#CC12CC1NCC=C2,4.2506,79.21,-0.2264,-0.0049,0.2216,1085.298,0.138806,29.579,-380.872571,-380.86511,-380.864166,-380.90428
gdb_34019,C#CC12CC1CCOC2,1.1673,82.14,-0.2402,0.0482,0.2883,1136.3842,0.1603,32.062,-385.850268,-385.84219,-385.841245,-385.882613
gdb_34057,C#CC12CC3=CCC1C23,0.6465,87.86,-0.2157,-0.0378,0.1779,1039.6975,0.135554,29.846,-347.41999,-347.412702,-347.411758,-347.451282
gdb_34068,C#CC12CC3C(C1)C3O2,1.6814,76.63,-0.2372,0.0353,0.2725,968.3018,0.137366,28.513,-384.652841,-384.646064,-384.64512,-384.683664
gdb_34105,N#CC12CN3C(CO1)C23,3.8723,68.39,-0.2596,0.0036,0.2631,939.2317,0.114321,26.318,-416.761755,-416.755083,-416.754139,-416.792753
gdb_34254,C#CC12NC3COC1C23,2.6299,76.47,-0.213,0.0229,0.236,1024.0562,0.125144,28.418,-400.655461,-400.648425,-400.647481,-400.686713
gdb_34269,C#CC12CC=C3CC1C23,0.5883,86.8,-0.2154,-0.0378,0.1776,1020.0665,0.135392,29.872,-347.418432,-347.411176,-347.410232,-347.449651
gdb_34272,C#CC12CN=C3NC1C23,3.3128,78.61,-0.2331,-0.0622,0.1708,979.0841,0.111366,28.751,-379.491797,-379.484677,-379.483733,-379.522969
gdb_34329,C#CC12CCC1C1CC21,0.7327,85.27,-0.2305,0.0407,0.2712,1051.016,0.159401,31.718,-348.668227,-348.660534,-348.65959,-348.69994
gdb_34499,N#CC1=CC2(CO2)CC1,3.9416,80.29,-0.2627,-0.0539,0.2087,1277.1541,0.124965,29.127,-400.760658,-400.752823,-400.751879,-400.793604
gdb_34531,C#CC1=CC2CC2CC1,1.2432,92.21,-0.2122,-0.0137,0.1985,1231.7014,0.160709,32.008,-348.733696,-348.725751,-348.724807,-348.765854
gdb_34551,N#CC1=CC2CN3C2C13,4.7411,76.76,-0.2534,-0.0553,0.1981,1020.7325,0.11523,25.857,-379.63819,-379.631717,-379.630773,-379.669088
gdb_34556,C#CC1=CC2CCC1O2,1.5059,82.24,-0.2307,-0.028,0.2027,1067.0603,0.137607,29.026,-384.663436,-384.656263,-384.655319,-384.694917
gdb_34579,C#CC1=CC=CCC=C1,0.9711,96.21,-0.213,-0.0478,0.1652,1205.1182,0.136605,31.088,-347.544435,-347.536558,-347.535614,-347.576536
gdb_34588,C1CC12CC=C(C2)C#N,4.5295,84.96,-0.2576,-0.0387,0.2189,1315.605,0.148827,30.647,-364.834455,-364.826449,-364.825505,-364.867511
gdb_34592,C1CC12CN=C(O2)C#N,5.096,73.18,-0.2616,-0.0563,0.2054,1194.6543,0.113022,28.292,-416.811471,-416.803829,-416.802884,-416.844251
gdb_34600,C#CC1=CCC2OC2C1,1.8091,82.97,-0.2296,-0.0158,0.2137,1191.3804,0.136125,30.427,-384.660178,-384.652357,-384.651413,-384.692512
gdb_34645,C#CC1=CCOC=NC1,1.9822,80.77,-0.2361,-0.0413,0.1948,1183.7988,0.124449,30.4,-400.713223,-400.705047,-400.704103,-400.746321
gdb_34654,C1C=CC(=CCO1)C#N,4.5121,81.22,-0.2452,-0.0678,0.1773,1219.3035,0.125597,29.082,-400.762391,-400.754556,-400.753611,-400.795319
